lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
ce,2223,1059,495,137,3.613138686131387,25.0,Chechen,нохчийн,601282.0,1190368.0,10112511.0,3.0,36982.0,49.0,328.0,8.0,0.0,0.0,0.0,19.0,135.0,0.4205607476635514,False,,1.0,low
szy,2217,284,51,53,0.9622641509433962,243.0,Sakizaya,Sakizaya,2664.0,5859.0,135335.0,1.0,3069.0,14.0,0.0,33.0,0.0,0.0,0.0,11.0,167.5,0.5218068535825545,False,,1.0,low
sd,2208,1169,665,309,2.1521035598705502,140.0,Sindhi,سنڌي,15668.0,58321.0,257911.0,4.0,18247.0,35.0,149.0,32.0,0.0,0.0,0.0,20.0,132.5,0.4127725856697819,False,,1.0,low
ang,2111,1602,87,82,1.0609756097560976,217.0,Old English,Ænglisc,4284.0,18093.0,213415.0,2.0,125986.0,54.0,299.0,122.0,0.0,0.0,0.0,17.0,138.5,0.43146417445482865,False,,1.0,low
ln,2040,1300,66,61,1.0819672131147542,224.0,Lingala,lingála,3767.0,10067.0,128094.0,5.0,13255.0,20.0,32.0,35.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
sc,2000,1485,336,114,2.9473684210526314,185.0,Sardinian,sardu,7541.0,17062.0,182707.0,4.0,24688.0,36.0,157.0,17.0,0.0,0.0,0.0,13.0,155.0,0.48286604361370716,False,,1.0,low
gv,1932,1599,109,104,1.0480769230769231,195.0,Manx,Gaelg,6484.0,26439.0,327147.0,3.0,20235.0,21.0,184.0,117.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
so,1879,1251,542,103,5.262135922330097,179.0,Somali,Soomaaliga,7943.0,25079.0,261580.0,1.0,37307.0,84.0,0.0,48.0,4.0,2.0,42.0,30.0,113.0,0.35202492211838005,True,91.0,0.6190476190476191,low
udm,1847,1473,8,155,0.05161290322580645,204.0,Udmurt,удмурт,5685.0,19144.0,125958.0,3.0,15270.0,21.0,9.0,36.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
eml,1777,1223,186,281,0.6619217081850534,152.0,Emiliano-Romagnolo,emiliàn e rumagnòl,13050.0,35351.0,156620.0,3.0,26306.0,20.0,2748.0,12.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
tly,1776,1098,0,175,0.0,199.0,Talysh,tolışi,6142.0,10909.0,84388.0,3.0,968.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
dag,1760,490,613,98,6.255102040816326,174.0,Dagbani,dagbanli,9205.0,19268.0,85968.0,2.0,3679.0,36.0,0.0,5.0,8.0,2.0,125.0,28.0,115.0,0.3582554517133956,True,126.5,0.8605442176870748,low
stq,1749,1331,21,74,0.28378378378378377,220.0,Saterland Frisian,Seeltersk,4115.0,10806.0,122896.0,5.0,13544.0,16.0,429.0,30.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
gn,1738,1377,285,122,2.3360655737704916,206.0,Guarani,Avañe'ẽ,5604.0,13250.0,129755.0,2.0,18940.0,30.0,0.0,18.0,3.0,1.0,35.0,14.0,150.0,0.4672897196261682,False,,1.0,low
mwl,1712,758,537,57,9.421052631578947,218.0,Mirandese,Mirandés,4257.0,10654.0,103254.0,1.0,13415.0,28.0,0.0,21.0,0.0,0.0,0.0,17.0,138.5,0.43146417445482865,False,,1.0,low
bo,1696,1369,418,85,4.91764705882353,186.0,Tibetan,བོད་ཡིག,7089.0,18750.0,142907.0,1.0,29857.0,31.0,0.0,20.0,9.0,3.0,172.0,8.0,206.5,0.6433021806853583,True,128.0,0.8707482993197279,low
jbo,1677,1389,1,34,0.029411764705882353,277.0,Lojban,la .lojban.,1333.0,5763.0,112460.0,1.0,16833.0,15.0,0.0,215.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
fiu-vro,1661,1329,6,55,0.10909090909090909,194.0,Võro,võro,6578.0,12494.0,179826.0,4.0,14496.0,16.0,50.0,11.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
ig,1556,1090,8253,562,14.685053380782918,121.0,Igbo,Igbo,24290.0,32471.0,150612.0,4.0,18797.0,74.0,0.0,0.0,80.0,21.0,2957.0,91.0,71.0,0.22118380062305296,True,98.5,0.6700680272108843,low
vo,1528,1203,351,168,2.0892857142857144,108.0,Volapük,Volapük,35971.0,152544.0,3295982.0,2.0,35394.0,29.0,0.0,226.0,4.0,3.0,64.0,14.0,150.0,0.4672897196261682,True,129.0,0.8775510204081632,low
kv,1468,1265,34,112,0.30357142857142855,208.0,Komi,коми,5522.0,17942.0,143110.0,1.0,14705.0,15.0,0.0,40.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
koi,1432,1164,1,149,0.006711409395973154,231.0,Komi-Permyak,перем коми,3461.0,12163.0,61786.0,1.0,8719.0,9.0,0.0,32.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
chr,1427,856,512,33,15.515151515151516,295.0,Cherokee,ᏣᎳᎩ,1057.0,4136.0,48678.0,1.0,25556.0,18.0,0.0,99.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
vep,1408,768,96,92,1.0434782608695652,189.0,Veps,vepsän kel’,6970.0,35233.0,166620.0,1.0,15980.0,21.0,0.0,77.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
zea,1394,1158,16,46,0.34782608695652173,196.0,Zeelandic,Zeêuws,6230.0,12005.0,143508.0,3.0,13445.0,24.0,1.0,10.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
dv,1364,1051,38,57,0.6666666666666666,236.0,Divehi,ދިވެހިބަސް,3049.0,11601.0,131934.0,3.0,25289.0,13.0,932.0,89.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
mhr,1355,1141,82,238,0.3445378151260504,161.0,Eastern Mari,олык марий,11290.0,29742.0,194910.0,2.0,14509.0,30.0,0.0,17.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
bh,1352,553,568,139,4.086330935251799,176.0,Bhojpuri,भोजपुरी,8654.0,75998.0,766638.0,2.0,34755.0,37.0,54.0,610.0,0.0,0.0,0.0,19.0,135.0,0.4205607476635514,False,,1.0,low
ext,1347,893,127,59,2.152542372881356,228.0,Extremaduran,estremeñu,3674.0,8487.0,129565.0,2.0,17668.0,21.0,0.0,26.0,0.0,0.0,0.0,13.0,155.0,0.48286604361370716,False,,1.0,low
to,1334,1089,20,51,0.39215686274509803,254.0,Tongan,lea faka-Tonga,2013.0,5473.0,43195.0,2.0,10634.0,11.0,12.0,23.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
mzn,1319,949,192,135,1.4222222222222223,128.0,Mazanderani,مازِرونی,19072.0,40700.0,190491.0,4.0,36667.0,35.0,281.0,6.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
km,1306,635,1273,62,20.532258064516128,167.0,Khmer,ភាសាខ្មែរ,10451.0,34967.0,304686.0,5.0,41893.0,58.0,1035.0,47.0,33.0,8.0,282.0,30.0,113.0,0.35202492211838005,True,109.5,0.7448979591836735,low
hak,1304,1022,59,147,0.4013605442176871,170.0,Hakka Chinese,客家語/Hak-kâ-ngî,10221.0,19568.0,128249.0,1.0,32839.0,18.0,0.0,5.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
pam,1253,922,406,72,5.638888888888889,173.0,Pampanga,Kapampangan,9470.0,22165.0,304433.0,2.0,21130.0,17.0,403.0,24.0,3.0,3.0,149.0,11.0,167.5,0.5218068535825545,True,140.5,0.95578231292517,low
hif,1248,953,229,80,2.8625,165.0,Fiji Hindi,Fiji Hindi,10832.0,47427.0,307687.0,4.0,33340.0,60.0,192.0,74.0,0.0,0.0,0.0,17.0,138.5,0.43146417445482865,False,,1.0,low
kw,1204,857,32,105,0.3047619047619048,187.0,Cornish,kernowek,6973.0,14460.0,214981.0,1.0,15658.0,23.0,6.0,17.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
pcd,1188,852,75,77,0.974025974025974,205.0,Picard,Picard,5655.0,10905.0,72472.0,3.0,17858.0,22.0,50.0,5.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
ksh,1177,913,25,25,1.0,237.0,Colognian,Ripoarisch,2963.0,10630.0,1608427.0,3.0,22910.0,15.0,0.0,1013.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
crh,1172,777,80,235,0.3404255319148936,117.0,Crimean Tatar,qırımtatarca,27901.0,50518.0,213481.0,2.0,25276.0,25.0,0.0,2.0,4.0,2.0,63.0,6.0,236.0,0.735202492211838,True,132.0,0.8979591836734694,low
frp,1159,752,65,68,0.9558823529411765,203.0,Arpitan,arpetan,5755.0,16835.0,224273.0,2.0,16653.0,26.0,0.0,49.0,2.0,2.0,7.0,8.0,206.5,0.6433021806853583,True,130.5,0.8877551020408163,low
lad,1062,727,185,41,4.512195121951219,227.0,Ladino,Ladino,3682.0,13186.0,212278.0,4.0,21557.0,26.0,23.0,107.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
cdo,1059,845,56,297,0.18855218855218855,137.0,Mindong,閩東語 / Mìng-dĕ̤ng-ngṳ̄,16461.0,33048.0,100810.0,4.0,21629.0,19.0,0.0,3.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
ab,1057,838,36,240,0.15,197.0,Abkhazian,аԥсшәа,6169.0,24793.0,135926.0,2.0,20390.0,23.0,9.0,49.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
myv,1054,818,141,69,2.0434782608695654,183.0,Erzya,эрзянь,7860.0,29669.0,149075.0,4.0,13130.0,18.0,0.0,38.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
kab,1044,443,139,146,0.952054794520548,192.0,Kabyle,Taqbaylit,6709.0,16442.0,109075.0,1.0,13782.0,21.0,0.0,13.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
ug,1044,805,25,100,0.25,201.0,Uyghur,ئۇيغۇرچە / Uyghurche,5949.0,15561.0,158637.0,1.0,22195.0,20.0,0.0,26.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
krc,1040,790,53,38,1.394736842105263,251.0,Karachay-Balkar,къарачай-малкъар,2087.0,14426.0,109121.0,1.0,10575.0,11.0,0.0,264.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
smn,1010,311,163,139,1.1726618705035972,207.0,Inari Sami,anarâškielâ,5602.0,20402.0,97982.0,6.0,4117.0,21.0,0.0,33.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
sat,1001,307,574,88,6.5227272727272725,164.0,Santali,ᱥᱟᱱᱛᱟᱲᱤ,10839.0,23110.0,141150.0,3.0,7691.0,43.0,0.0,7.0,7.0,4.0,89.0,23.0,124.5,0.3878504672897196,True,116.5,0.7925170068027211,low
ay,996,803,40,33,1.2121212121212122,210.0,Aymara,Aymar aru,5169.0,8851.0,99811.0,1.0,16937.0,23.0,0.0,5.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
rw,988,794,627,99,6.333333333333333,188.0,Kinyarwanda,Ikinyarwanda,6971.0,14595.0,103313.0,1.0,13393.0,45.0,0.0,8.0,14.0,3.0,272.0,22.0,128.0,0.3987538940809969,True,114.5,0.7789115646258503,low
arc,968,794,9,36,0.25,259.0,Aramaic,ܐܪܡܝܐ,1901.0,6529.0,96343.0,2.0,20769.0,16.0,0.0,87.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
dsb,959,743,177,72,2.4583333333333335,234.0,Lower Sorbian,dolnoserbski,3372.0,11282.0,144543.0,1.0,18765.0,26.0,0.0,70.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
bjn,951,643,796,77,10.337662337662337,166.0,Banjar,Banjar,10639.0,31188.0,94488.0,3.0,14457.0,22.0,92.0,11.0,24.0,7.0,299.0,23.0,124.5,0.3878504672897196,True,135.0,0.9183673469387755,low
ban,948,522,379,145,2.613793103448276,125.0,Balinese,Basa Bali,22583.0,44502.0,175922.0,4.0,19301.0,52.0,117.0,3.0,0.0,0.0,0.0,14.0,150.0,0.4672897196261682,False,,1.0,low
sn,942,532,22,53,0.41509433962264153,160.0,Shona,chiShona,11410.0,20343.0,110502.0,1.0,17674.0,19.0,0.0,3.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
lfn,917,486,43,163,0.26380368098159507,219.0,Lingua Franca Nova,Lingua Franca Nova,4249.0,6786.0,39645.0,1.0,12285.0,19.0,0.0,2.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
nov,840,652,2,20,0.1,271.0,Novial,Novial,1627.0,4545.0,178974.0,2.0,11994.0,15.0,0.0,126.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
pap,827,385,303,32,9.46875,226.0,Papiamento,Papiamentu,3748.0,7981.0,115602.0,5.0,14863.0,18.0,0.0,18.0,7.0,3.0,69.0,9.0,189.0,0.5887850467289719,True,137.5,0.935374149659864,low
bxr,816,332,1371,61,22.475409836065573,241.0,Russia Buriat,буряад,2777.0,11091.0,71716.0,1.0,15490.0,17.0,9.0,57.0,24.0,7.0,419.0,13.0,155.0,0.48286604361370716,True,140.5,0.95578231292517,low
pdc,796,643,36,16,2.25,255.0,Pennsylvania German,Deitsch,2009.0,5934.0,106020.0,1.0,33508.0,25.0,0.0,68.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
kbd,755,545,30,51,0.5882352941176471,270.0,Kabardian,адыгэбзэ,1635.0,7070.0,47674.0,2.0,10140.0,14.0,0.0,74.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
gcr,746,618,2,109,0.01834862385321101,294.0,Guianan Creole,kriyòl gwiyannen,1065.0,2644.0,17249.0,1.0,3105.0,10.0,0.0,14.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
inh,738,237,62,53,1.169811320754717,250.0,Ingush,гӀалгӀай,2208.0,14031.0,65341.0,2.0,4416.0,16.0,36.0,133.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
tcy,736,272,275,36,7.638888888888889,252.0,Tulu,ತುಳು,2040.0,11121.0,120122.0,3.0,5952.0,29.0,12.0,214.0,0.0,0.0,0.0,15.0,146.0,0.45482866043613707,False,,1.0,low
srn,730,573,5,19,0.2631578947368421,289.0,Sranan Tongo,Sranantongo,1119.0,2703.0,39635.0,1.0,7839.0,12.0,0.0,29.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
nso,722,498,4,190,0.021052631578947368,177.0,Northern Sotho,Sesotho sa Leboa,8586.0,10943.0,50686.0,1.0,6812.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
lez,711,469,34,42,0.8095238095238095,215.0,Lezghian,лезги,4379.0,14079.0,94580.0,3.0,10969.0,18.0,10.0,32.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
mni,704,215,182,107,1.7009345794392523,169.0,Manipuri,ꯃꯤꯇꯩ ꯂꯣꯟ,10285.0,16694.0,53650.0,3.0,4154.0,23.0,0.0,1.0,11.0,2.0,107.0,4.0,260.0,0.8099688473520249,True,134.0,0.9115646258503401,low
ace,677,492,93,53,1.7547169811320755,153.0,Achinese,Acèh,12931.0,27684.0,150187.0,4.0,27709.0,39.0,0.0,7.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
gom,676,144,49,26,1.8846153846153846,229.0,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,3593.0,9472.0,212313.0,4.0,10201.0,11.0,0.0,60.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
mdf,655,503,104,145,0.7172413793103448,213.0,Moksha,мокшень,4572.0,17212.0,79794.0,3.0,9686.0,15.0,0.0,35.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
av,635,475,228,41,5.560975609756097,232.0,Avaric,авар,3412.0,16559.0,89851.0,2.0,15060.0,26.0,0.0,80.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
wo,595,431,28,24,1.1666666666666667,267.0,Wolof,Wolof,1690.0,5453.0,106014.0,3.0,15381.0,12.0,0.0,96.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
lbe,582,492,6,25,0.24,281.0,Lak,лакку,1269.0,15476.0,51864.0,1.0,8565.0,6.0,0.0,420.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
lld,568,399,10,266,0.03759398496240601,57.0,Ladin,Ladin,180664.0,187426.0,236924.0,3.0,6190.0,29.0,4.0,0.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
ltg,557,392,14,17,0.8235294117647058,293.0,Latgalian,latgaļu,1075.0,3345.0,36604.0,1.0,7520.0,9.0,0.0,48.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
haw,554,418,42,17,2.4705882352941178,248.0,Hawaiian,Hawaiʻi,2543.0,5677.0,98069.0,1.0,17353.0,23.0,0.0,26.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
roa-tara,553,311,129,15,8.6,172.0,Tarantino,tarandíne,9485.0,18860.0,149349.0,3.0,11674.0,18.0,169.0,7.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
kcg,540,171,49,28,1.75,297.0,Tyap,Tyap,954.0,5016.0,30194.0,2.0,1460.0,22.0,0.0,109.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
mnw,515,103,834,22,37.90909090909091,258.0,Mon,ဘာသာမန်,1903.0,6519.0,43058.0,4.0,3728.0,13.0,0.0,38.0,23.0,8.0,255.0,8.0,206.5,0.6433021806853583,True,144.0,0.9795918367346939,low
bm,514,425,6,35,0.17142857142857143,306.0,Bambara,bamanankan,822.0,3270.0,41253.0,1.0,11125.0,14.0,0.0,111.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
lo,500,335,239,56,4.267857142857143,222.0,Lao,ລາວ,3955.0,13673.0,106517.0,4.0,18832.0,45.0,18.0,47.0,3.0,3.0,25.0,22.0,128.0,0.3987538940809969,True,114.5,0.7789115646258503,low
shi,494,182,51,24,2.125,260.0,Tachelhit,Taclḥit,1816.0,4996.0,48298.0,2.0,3568.0,27.0,0.0,29.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
ik,490,345,4,30,0.13333333333333333,313.0,Inupiaq,Iñupiatun,583.0,2817.0,39605.0,1.0,8903.0,7.0,0.0,206.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
iu,485,391,8,15,0.5333333333333333,319.0,Inuktitut,ᐃᓄᒃᑎᑐᑦ / inuktitut,401.0,2937.0,46882.0,2.0,20484.0,21.0,0.0,638.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
za,463,372,126,59,2.135593220338983,238.0,Zhuang,Vahcuengh,2899.0,5334.0,41901.0,2.0,10893.0,15.0,0.0,5.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
zu,454,321,114,63,1.8095238095238095,162.0,Zulu,isiZulu,11238.0,25018.0,105263.0,1.0,20703.0,35.0,0.0,6.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
cu,429,324,17,10,1.7,284.0,Church Slavic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,1218.0,5690.0,84705.0,2.0,25677.0,18.0,0.0,200.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
mai,424,194,240,99,2.4242424242424243,147.0,Maithili,मैथिली,14102.0,42502.0,260346.0,5.0,13994.0,38.0,120.0,24.0,6.0,2.0,50.0,12.0,161.5,0.5031152647975078,True,122.0,0.8299319727891157,low
ks,423,217,14,37,0.3783783783783784,212.0,Kashmiri,कॉशुर / کٲشُر,4658.0,13690.0,85268.0,2.0,10999.0,18.0,12.0,23.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
pnt,417,341,5,7,0.7142857142857143,318.0,Pontic,Ποντιακά,486.0,2062.0,35533.0,1.0,10596.0,12.0,0.0,181.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
shn,410,235,784,199,3.9396984924623117,151.0,Shan,ၽႃႇသႃႇတႆး,13448.0,31701.0,63144.0,2.0,4356.0,17.0,68.0,3.0,32.0,7.0,215.0,7.0,222.5,0.6931464174454829,True,140.5,0.95578231292517,low
sm,401,334,4,11,0.36363636363636365,290.0,Samoan,Gagana Samoa,1099.0,3420.0,43431.0,1.0,10590.0,12.0,0.0,56.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
rm,386,297,436,24,18.166666666666668,223.0,Romansh,rumantsch,3769.0,9653.0,164882.0,4.0,20450.0,24.0,48.0,41.0,2.0,2.0,133.0,9.0,189.0,0.5887850467289719,True,133.0,0.9047619047619048,low
glk,376,214,209,23,9.08695652173913,190.0,Gilaki,گیلکی,6895.0,15011.0,67404.0,4.0,15966.0,19.0,797.0,6.0,19.0,2.0,52.0,8.0,206.5,0.6433021806853583,True,136.0,0.9251700680272109,low
got,374,254,8,24,0.3333333333333333,301.0,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,897.0,3771.0,46821.0,1.0,19833.0,18.0,0.0,127.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
olo,365,220,27,68,0.39705882352941174,216.0,Livvi-Karelian,livvinkarjala,4341.0,12294.0,35609.0,2.0,7093.0,12.0,0.0,9.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
chy,363,295,2,29,0.06896551724137931,311.0,Cheyenne,Tsetsêhestâhese,695.0,2239.0,24830.0,1.0,11937.0,8.0,0.0,54.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
ie,358,234,25,44,0.5681818181818182,156.0,Interlingue,Interlingue,12551.0,16554.0,158002.0,2.0,19730.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
kl,345,289,4,8,0.5,325.0,Kalaallisut,kalaallisut,242.0,2302.0,75192.0,3.0,13567.0,16.0,0.0,2366.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
ty,337,292,0,12,0.0,283.0,Tahitian,reo tahiti,1219.0,3011.0,53501.0,1.0,7575.0,8.0,0.0,38.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
cr,334,280,2,4,0.5,326.0,Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,12.0,2301.0,39601.0,2.0,19477.0,21.0,0.0,626208.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
xal,328,286,7,12,0.5833333333333334,261.0,Kalmyk,хальмг,1802.0,11994.0,90104.0,1.0,10191.0,13.0,0.0,240.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
roa-rup,324,211,3,26,0.11538461538461539,276.0,Aromanian,armãneashti,1359.0,4503.0,207832.0,1.0,14191.0,20.0,0.0,247.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
atj,323,212,10,22,0.45454545454545453,253.0,Atikamekw,Atikamekw,2014.0,3163.0,15632.0,5.0,4606.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
tyv,321,187,182,43,4.232558139534884,230.0,Tuvinian,тыва дыл,3515.0,12567.0,47188.0,1.0,9310.0,18.0,0.0,24.0,0.0,0.0,0.0,14.0,150.0,0.4672897196261682,False,,1.0,low
om,314,186,13,39,0.3333333333333333,263.0,Oromo,Oromoo,1734.0,4959.0,42386.0,1.0,11101.0,20.0,0.0,29.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
kaa,288,232,22,29,0.7586206896551724,214.0,Kara-Kalpak,Qaraqalpaqsha,4427.0,13500.0,75354.0,4.0,12194.0,69.0,23.0,23.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
jam,282,221,25,44,0.5681818181818182,264.0,Jamaican Creole English,Patois,1716.0,3083.0,21768.0,1.0,8893.0,24.0,0.0,4.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
pfl,281,191,63,14,4.5,242.0,Palatine German,Pälzisch,2753.0,6959.0,90909.0,4.0,11978.0,13.0,0.0,30.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
kbp,275,202,2,37,0.05405405405405406,265.0,Kabiye,Kabɩyɛ,1710.0,3411.0,18016.0,2.0,4671.0,10.0,0.0,5.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
ami,264,52,10,12,0.8333333333333334,288.0,Amis,Pangcah,1130.0,1998.0,41476.0,1.0,2192.0,14.0,0.0,12.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
rmy,253,184,0,10,0.0,304.0,Vlax Romani,romani čhib,864.0,3021.0,52936.0,1.0,17772.0,16.0,0.0,109.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
fj,248,185,6,37,0.16216216216216217,279.0,Fijian,Na Vosa Vakaviti,1296.0,3674.0,35844.0,1.0,9288.0,8.0,0.0,32.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
tet,247,199,14,8,1.75,275.0,Tetum,tetun,1361.0,3828.0,67960.0,2.0,9849.0,17.0,0.0,58.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
guc,231,128,1,15,0.06666666666666667,316.0,Wayuu,wayuunaiki,549.0,1147.0,14313.0,2.0,1182.0,22.0,0.0,14.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
bug,222,183,370,5,74.0,139.0,Buginese,Basa Ugi,15835.0,20111.0,202358.0,1.0,13495.0,13.0,0.0,0.0,4.0,2.0,265.0,6.0,236.0,0.735202492211838,True,144.0,0.9795918367346939,low
tw,222,79,86,21,4.095238095238095,225.0,Twi,Twi,3765.0,7254.0,118696.0,2.0,15695.0,22.0,0.0,14.0,0.0,0.0,0.0,11.0,167.5,0.5218068535825545,False,,1.0,low
pwn,220,99,33,10,3.3,320.0,Paiwan,pinayuanan,352.0,548.0,12147.0,1.0,1680.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
pih,215,172,1,9,0.1111111111111111,300.0,Norfuk / Pitkern,Norfuk / Pitkern,914.0,3370.0,44769.0,1.0,11875.0,12.0,0.0,95.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
