lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
su,15128,11803,2567,491,5.228105906313646,94.0,Sundanese,Sunda,61626.0,98078.0,663853.0,6.0,31269.0,75.0,537.0,2.0,27.0,9.0,831.0,67.0,78.5,0.24454828660436137,True,97.0,0.6598639455782312,low
ht,15089,11000,1948,553,3.522603978300181,89.0,Haitian Creole,Kreyòl ayisyen,69479.0,86404.0,839696.0,2.0,32462.0,43.0,0.0,0.0,21.0,8.0,455.0,31.0,111.0,0.34579439252336447,True,116.5,0.7925170068027211,low
nap,14980,11906,46,287,0.1602787456445993,145.0,Neapolitan,Napulitano,14858.0,24009.0,667840.0,3.0,30400.0,34.0,288.0,10.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
cv,14605,10938,1253,536,2.337686567164179,100.0,Chuvash,чӑвашла,52524.0,109793.0,816744.0,2.0,34772.0,48.0,537.0,8.0,9.0,3.0,320.0,26.0,118.5,0.3691588785046729,True,113.0,0.7687074829931972,low
nv,14048,6550,71,1762,0.04029511918274688,124.0,Navajo,Diné bizaad,22599.0,37211.0,307207.0,2.0,17436.0,9.0,737.0,3.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
nds,13467,9907,608,467,1.3019271948608138,81.0,Low German,Plattdüütsch,84580.0,171652.0,1009998.0,4.0,53480.0,53.0,0.0,6.0,4.0,3.0,87.0,22.0,128.0,0.3987538940809969,True,111.0,0.7551020408163265,low
gd,12835,9825,481,315,1.5269841269841269,138.0,Scottish Gaelic,Gàidhlig,15950.0,32236.0,575121.0,5.0,28237.0,29.0,290.0,18.0,0.0,0.0,0.0,34.0,104.0,0.32398753894080995,False,,1.0,low
qu,12738,10213,408,513,0.7953216374269005,122.0,Quechua,Runa Simi,24026.0,57659.0,670979.0,2.0,30028.0,38.0,0.0,22.0,6.0,3.0,39.0,13.0,155.0,0.48286604361370716,True,122.0,0.8299319727891157,low
am,11121,8508,195,342,0.5701754385964912,143.0,Amharic,አማርኛ,15296.0,46391.0,379175.0,1.0,46605.0,36.0,1784.0,33.0,2.0,2.0,16.0,20.0,132.5,0.4127725856697819,True,126.5,0.8605442176870748,low
ku,11060,6055,4228,352,12.011363636363637,84.0,Kurdish,kurdî,75363.0,191852.0,1546247.0,3.0,65010.0,94.0,562.0,19.0,22.0,7.0,447.0,61.0,83.0,0.2585669781931464,True,87.0,0.5918367346938775,low
